"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2008","Not applicable","Not applicable","Number","39831.93782"
"Albania","2007","Not applicable","Not applicable","Number","19875.9172"
"Algeria","2005","Not applicable","Not applicable","Number","242321.25008"
"Algeria","2004","Not applicable","Not applicable","Number","549074.74867"
"Algeria","2003","Not applicable","Not applicable","Number","614641.59092"
"Algeria","2002","Not applicable","Not applicable","Number","1049650.27376"
"Algeria","2001","Not applicable","Not applicable","Number","615279.98832"
"Argentina","2011","Not applicable","Not applicable","Number","4655464.79484"
"Armenia","2014","Not applicable","Not applicable","Number","58412.20491"
"Armenia","2013","Not applicable","Not applicable","Number","51322.61355"
"Armenia","2012","Not applicable","Not applicable","Number","52560.90445"
"Armenia","2011","Not applicable","Not applicable","Number","54549.21031"
"Armenia","2010","Not applicable","Not applicable","Number","45612.709"
"Armenia","2009","Not applicable","Not applicable","Number","53142.3693"
"Armenia","2008","Not applicable","Not applicable","Number","47381.84686"
"Armenia","2007","Not applicable","Not applicable","Number","40891.63041"
"Armenia","2006","Not applicable","Not applicable","Number","39911.74379"
"Armenia","2005","Not applicable","Not applicable","Number","36629.8692"
"Armenia","2004","Not applicable","Not applicable","Number","25650.03715"
"Armenia","2003","Not applicable","Not applicable","Number","25550.65287"
"Armenia","2002","Not applicable","Not applicable","Number","23142.89142"
"Armenia","2001","Not applicable","Not applicable","Number","22315.96897"
"Armenia","2000","Not applicable","Not applicable","Number","13138.61351"
"Armenia","1999","Not applicable","Not applicable","Number","14059.76874"
"Armenia","1998","Not applicable","Not applicable","Number","14158.22972"
"Armenia","1997","Not applicable","Not applicable","Number","10795.76229"
"Australia","2013","Not applicable","Not applicable","Number","21990342.29026"
"Australia","2011","Not applicable","Not applicable","Number","20955599.1455"
"Australia","2010","Not applicable","Not applicable","Number","20546156.24383"
"Australia","2008","Not applicable","Not applicable","Number","19132997.49235"
"Australia","2006","Not applicable","Not applicable","Number","15503240.22362"
"Australia","2004","Not applicable","Not applicable","Number","11683188.31015"
"Australia","2002","Not applicable","Not applicable","Number","9885296.56039"
"Australia","2000","Not applicable","Not applicable","Number","7951317.06498"
"Australia","1998","Not applicable","Not applicable","Number","6865107.2851"
"Australia","1996","Not applicable","Not applicable","Number","6701057.697"
"Austria","2014","Not applicable","Not applicable","Number","11779712.89504"
"Austria","2013","Not applicable","Not applicable","Number","11341617.80668"
"Austria","2012","Not applicable","Not applicable","Number","10910150.06392"
"Austria","2011","Not applicable","Not applicable","Number","9906498.93171"
"Austria","2010","Not applicable","Not applicable","Number","9585855.63296"
"Austria","2009","Not applicable","Not applicable","Number","8860472.41669"
"Austria","2008","Not applicable","Not applicable","Number","8854091.6417"
"Austria","2007","Not applicable","Not applicable","Number","7917492.38837"
"Austria","2006","Not applicable","Not applicable","Number","7381630.34996"
"Austria","2005","Not applicable","Not applicable","Number","6802552.78631"
"Austria","2004","Not applicable","Not applicable","Number","6005706.48661"
"Austria","2003","Not applicable","Not applicable","Number","5707800.6541"
"Austria","2002","Not applicable","Not applicable","Number","5229778.94384"
"Austria","2001","Not applicable","Not applicable","Number","4791524.42177"
"Austria","2000","Not applicable","Not applicable","Number","4477260.12356"
"Austria","1999","Not applicable","Not applicable","Number","4101891.96468"
"Austria","1998","Not applicable","Not applicable","Number","3703419.07528"
"Austria","1997","Not applicable","Not applicable","Number","3376760.84129"
"Austria","1996","Not applicable","Not applicable","Number","3101701.3647"
"Azerbaijan","2014","Not applicable","Not applicable","Number","350676.8183"
"Azerbaijan","2013","Not applicable","Not applicable","Number","341276.54301"
"Azerbaijan","2012","Not applicable","Not applicable","Number","326612.71474"
"Azerbaijan","2011","Not applicable","Not applicable","Number","304693.90317"
"Azerbaijan","2010","Not applicable","Not applicable","Number","309146.02811"
"Azerbaijan","2009","Not applicable","Not applicable","Number","332982.18253"
"Azerbaijan","2008","Not applicable","Not applicable","Number","200191.59734"
"Azerbaijan","2007","Not applicable","Not applicable","Number","182086.70118"
"Azerbaijan","2006","Not applicable","Not applicable","Number","143161.14843"
"Azerbaijan","2005","Not applicable","Not applicable","Number","132322.28542"
"Azerbaijan","2004","Not applicable","Not applicable","Number","137558.19075"
"Azerbaijan","2003","Not applicable","Not applicable","Number","132339.90796"
"Azerbaijan","2002","Not applicable","Not applicable","Number","108279.06823"
"Azerbaijan","2001","Not applicable","Not applicable","Number","108718.50059"
"Azerbaijan","2000","Not applicable","Not applicable","Number","95578.60705"
"Azerbaijan","1999","Not applicable","Not applicable","Number","98359.23506"
"Azerbaijan","1998","Not applicable","Not applicable","Number","96710.82955"
"Azerbaijan","1997","Not applicable","Not applicable","Number","76291.08963"
"Azerbaijan","1996","Not applicable","Not applicable","Number","45151.7271"
"Bahrain","2014","Not applicable","Not applicable","Number","61828.68372"
"Belarus","2013","Not applicable","Not applicable","Number","1125432.85045"
"Belarus","2012","Not applicable","Not applicable","Number","1086494.68772"
"Belarus","2011","Not applicable","Not applicable","Number","1101929.55981"
"Belarus","2010","Not applicable","Not applicable","Number","1012562.20713"
"Belarus","2009","Not applicable","Not applicable","Number","860455.27187"
"Belarus","2008","Not applicable","Not applicable","Number","983252.58265"
"Belarus","2007","Not applicable","Not applicable","Number","1135382.22249"
"Belarus","2006","Not applicable","Not applicable","Number","699340.53176"
"Belarus","2005","Not applicable","Not applicable","Number","633493.05"
"Belarus","2004","Not applicable","Not applicable","Number","518906.79509"
"Belarus","2003","Not applicable","Not applicable","Number","441494.6878"
"Belarus","2002","Not applicable","Not applicable","Number","410615.18547"
"Belarus","2001","Not applicable","Not applicable","Number","439465.93125"
"Belarus","2000","Not applicable","Not applicable","Number","418007.70365"
"Belarus","1999","Not applicable","Not applicable","Number","452169.71929"
"Belarus","1998","Not applicable","Not applicable","Number","359651.22647"
"Belarus","1997","Not applicable","Not applicable","Number","339482.69423"
"Belarus","1996","Not applicable","Not applicable","Number","409823.94163"
"Belgium","2014","Not applicable","Not applicable","Number","11779936.63019"
"Belgium","2013","Not applicable","Not applicable","Number","11222700.9517"
"Belgium","2012","Not applicable","Not applicable","Number","10863295.86237"
"Belgium","2011","Not applicable","Not applicable","Number","9729106.7106"
"Belgium","2010","Not applicable","Not applicable","Number","8765993.91444"
"Belgium","2009","Not applicable","Not applicable","Number","8068475.89629"
"Belgium","2008","Not applicable","Not applicable","Number","7799276.24831"
"Belgium","2007","Not applicable","Not applicable","Number","7168538.60363"
"Belgium","2006","Not applicable","Not applicable","Number","6715702.00547"
"Belgium","2005","Not applicable","Not applicable","Number","6171134.94887"
"Belgium","2004","Not applicable","Not applicable","Number","6029530.50239"
"Belgium","2003","Not applicable","Not applicable","Number","5901653.62076"
"Belgium","2002","Not applicable","Not applicable","Number","6010856.14823"
"Belgium","2001","Not applicable","Not applicable","Number","6070591.50493"
"Belgium","2000","Not applicable","Not applicable","Number","5574167.88037"
"Belgium","1999","Not applicable","Not applicable","Number","5012140.8754"
"Belgium","1998","Not applicable","Not applicable","Number","4622623.80535"
"Belgium","1997","Not applicable","Not applicable","Number","4444329.13659"
"Belgium","1996","Not applicable","Not applicable","Number","4092480.34291"
"Bermuda","2013","Not applicable","Not applicable","Number","7692.05066"
"Bermuda","2012","Not applicable","Not applicable","Number","7949.33643"
"Bermuda","2011","Not applicable","Not applicable","Number","9273.53857"
"Bermuda","2010","Not applicable","Not applicable","Number","8018.08603"
"Bermuda","2009","Not applicable","Not applicable","Number","8066.9609"
"Bermuda","2008","Not applicable","Not applicable","Number","7970.60276"
"Bermuda","2007","Not applicable","Not applicable","Number","7543.85341"
"Bermuda","1997","Not applicable","Not applicable","Number","1196.74128"
"Bolivia","2009","Not applicable","Not applicable","Number","78275.76027"
"Bolivia","2002","Not applicable","Not applicable","Number","87315.11197"
"Bolivia","2001","Not applicable","Not applicable","Number","89051.57107"
"Bolivia","2000","Not applicable","Not applicable","Number","83832.42989"
"Bolivia","1999","Not applicable","Not applicable","Number","82999.79137"
"Bolivia","1998","Not applicable","Not applicable","Number","80473.05613"
"Bolivia","1997","Not applicable","Not applicable","Number","81147.06171"
"Bolivia","1996","Not applicable","Not applicable","Number","78343.29914"
"Bosnia and Herzegovina","2014","Not applicable","Not applicable","Number","98587.14191"
"Bosnia and Herzegovina","2013","Not applicable","Not applicable","Number","119480.07311"
"Bosnia and Herzegovina","2012","Not applicable","Not applicable","Number","96985.66555"
"Bosnia and Herzegovina","2009","Not applicable","Not applicable","Number","7026.83189"
"Bosnia and Herzegovina","2008","Not applicable","Not applicable","Number","6224.14023"
"Bosnia and Herzegovina","2007","Not applicable","Not applicable","Number","7772.43922"
"Bosnia and Herzegovina","2006","Not applicable","Not applicable","Number","5542.51192"
"Bosnia and Herzegovina","2005","Not applicable","Not applicable","Number","6627.92286"
"Bosnia and Herzegovina","2004","Not applicable","Not applicable","Number","3549.88014"
"Bosnia and Herzegovina","2003","Not applicable","Not applicable","Number","3746.94327"
"Botswana","2012","Not applicable","Not applicable","Number","76706.54652"
"Botswana","2005","Not applicable","Not applicable","Number","101993.2392"
"Brazil","2013","Not applicable","Not applicable","Number","39704466.0008"
"Brazil","2012","Not applicable","Not applicable","Number","35462182.18145"
"Brazil","2011","Not applicable","Not applicable","Number","33904393.01194"
"Brazil","2010","Not applicable","Not applicable","Number","32514724.63732"
"Brazil","2009","Not applicable","Not applicable","Number","28848329.18569"
"Brazil","2008","Not applicable","Not applicable","Number","28943748.12048"
"Brazil","2007","Not applicable","Not applicable","Number","25891583.46816"
"Brazil","2006","Not applicable","Not applicable","Number","21717521.38975"
"Brazil","2005","Not applicable","Not applicable","Number","20547192.58963"
"Brazil","2004","Not applicable","Not applicable","Number","18548362.79825"
"Brazil","2003","Not applicable","Not applicable","Number","17709291.57235"
"Brazil","2002","Not applicable","Not applicable","Number","16770684.42322"
"Brazil","2001","Not applicable","Not applicable","Number","16940642.47125"
"Brazil","2000","Not applicable","Not applicable","Number","15834037.08956"
"Brunei Darussalam","2004","Not applicable","Not applicable","Number","8708.6854"
"Brunei Darussalam","2003","Not applicable","Not applicable","Number","4196.47191"
"Brunei Darussalam","2002","Not applicable","Not applicable","Number","3456.87622"
"Bulgaria","2014","Not applicable","Not applicable","Number","954477.81876"
"Bulgaria","2013","Not applicable","Not applicable","Number","742691.33412"
"Bulgaria","2012","Not applicable","Not applicable","Number","709737.22885"
"Bulgaria","2011","Not applicable","Not applicable","Number","614886.62174"
"Bulgaria","2010","Not applicable","Not applicable","Number","637047.19261"
"Bulgaria","2009","Not applicable","Not applicable","Number","548900.55482"
"Bulgaria","2008","Not applicable","Not applicable","Number","498847.20453"
"Bulgaria","2007","Not applicable","Not applicable","Number","429003.41294"
"Bulgaria","2006","Not applicable","Not applicable","Number","390568.8192"
"Bulgaria","2005","Not applicable","Not applicable","Number","347442.67033"
"Bulgaria","2004","Not applicable","Not applicable","Number","336348.30347"
"Bulgaria","2003","Not applicable","Not applicable","Number","310840.99556"
"Bulgaria","2002","Not applicable","Not applicable","Number","284510.97947"
"Bulgaria","2001","Not applicable","Not applicable","Number","248034.8472"
"Bulgaria","2000","Not applicable","Not applicable","Number","258642.84508"
"Bulgaria","1999","Not applicable","Not applicable","Number","257239.98592"
"Bulgaria","1998","Not applicable","Not applicable","Number","250463.42103"
"Bulgaria","1997","Not applicable","Not applicable","Number","211524.74666"
"Bulgaria","1996","Not applicable","Not applicable","Number","224724.63249"
"Burkina Faso","2009","Not applicable","Not applicable","Number","39701.34916"
"Burkina Faso","2008","Not applicable","Not applicable","Number","35644.75424"
"Burkina Faso","2007","Not applicable","Not applicable","Number","19342.92556"
"Burkina Faso","2005","Not applicable","Not applicable","Number","25108.08119"
"Burkina Faso","2004","Not applicable","Not applicable","Number","31755.92987"
"Burkina Faso","2003","Not applicable","Not applicable","Number","33153.60972"
"Burkina Faso","2002","Not applicable","Not applicable","Number","37655.1688"
"Burkina Faso","2001","Not applicable","Not applicable","Number","19997.84377"
"Burkina Faso","1997","Not applicable","Not applicable","Number","14144.32463"
"Burkina Faso","1996","Not applicable","Not applicable","Number","11439.52801"
"Burundi","2011","Not applicable","Not applicable","Number","8460.3342"
"Burundi","2010","Not applicable","Not applicable","Number","9024.54746"
