"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2007","Not applicable","Not applicable","Number","845500000"
"Albania","2008","Not applicable","Not applicable","Number","1665500000"
"Algeria","2001","Not applicable","Not applicable","Number","9734253000"
"Algeria","2002","Not applicable","Not applicable","Number","16571247000"
"Algeria","2003","Not applicable","Not applicable","Number","10306455000"
"Algeria","2004","Not applicable","Not applicable","Number","10058086000"
"Algeria","2005","Not applicable","Not applicable","Number","4994000000"
"American Samoa","2001","Not applicable","Not applicable","Number","1167000"
"American Samoa","2003","Not applicable","Not applicable","Number","984429"
"American Samoa","2004","Not applicable","Not applicable","Number","1655674"
"American Samoa","2005","Not applicable","Not applicable","Number","1834581"
"American Samoa","2006","Not applicable","Not applicable","Number","1949904"
"Argentina","1996","Not applicable","Not applicable","Number","1136200000"
"Argentina","2009","Not applicable","Not applicable","Number","7325994856.69"
"Argentina","1997","Not applicable","Not applicable","Number","1228800000"
"Argentina","2010","Not applicable","Not applicable","Number","9373038920.70403"
"Argentina","1998","Not applicable","Not applicable","Number","1229600000"
"Argentina","2011","Not applicable","Not applicable","Number","12406017593.7681"
"Argentina","1999","Not applicable","Not applicable","Number","1285400000"
"Argentina","2012","Not applicable","Not applicable","Number","16853054164.5892"
"Argentina","2000","Not applicable","Not applicable","Number","1247200000"
"Argentina","2013","Not applicable","Not applicable","Number","20837733954.5027"
"Argentina","2001","Not applicable","Not applicable","Number","1140900000"
"Argentina","2014","Not applicable","Not applicable","Number","27130745188.4532"
"Argentina","2002","Not applicable","Not applicable","Number","1215500000"
"Argentina","2003","Not applicable","Not applicable","Number","1541700000"
"Argentina","2004","Not applicable","Not applicable","Number","1958700000"
"Argentina","2005","Not applicable","Not applicable","Number","2451000000"
"Argentina","2006","Not applicable","Not applicable","Number","3237000000"
"Argentina","2007","Not applicable","Not applicable","Number","4126700000"
"Argentina","2008","Not applicable","Not applicable","Number","5409700000"
"Armenia","1997","Not applicable","Not applicable","Number","1503500000"
"Armenia","1998","Not applicable","Not applicable","Number","2159300000"
"Armenia","1999","Not applicable","Not applicable","Number","2113100000"
"Armenia","2000","Not applicable","Not applicable","Number","1904200000"
"Armenia","2001","Not applicable","Not applicable","Number","3290900000"
"Armenia","2002","Not applicable","Not applicable","Number","3440900000"
"Armenia","2003","Not applicable","Not applicable","Number","3894500000"
"Armenia","2004","Not applicable","Not applicable","Number","4045100000"
"Armenia","2005","Not applicable","Not applicable","Number","5777900000"
"Armenia","2006","Not applicable","Not applicable","Number","6390100000"
"Armenia","2007","Not applicable","Not applicable","Number","6647200000"
"Armenia","2008","Not applicable","Not applicable","Number","8006500000"
"Armenia","2009","Not applicable","Not applicable","Number","9140100000"
"Armenia","2010","Not applicable","Not applicable","Number","8352500000"
"Armenia","2011","Not applicable","Not applicable","Number","10205900000"
"Armenia","2012","Not applicable","Not applicable","Number","10176900000"
"Armenia","2013","Not applicable","Not applicable","Number","10120900000"
"Armenia","2014","Not applicable","Not applicable","Number","11661700000"
"Australia","2006","Not applicable","Not applicable","Number","21777200000"
"Australia","1996","Not applicable","Not applicable","Number","8792431000"
"Australia","2008","Not applicable","Not applicable","Number","28299100000"
"Australia","1998","Not applicable","Not applicable","Number","8918200000"
"Australia","2010","Not applicable","Not applicable","Number","30915000000"
"Australia","2000","Not applicable","Not applicable","Number","10417100000"
"Australia","2011","Not applicable","Not applicable","Number","31665000000"
"Australia","2002","Not applicable","Not applicable","Number","13211600000"
"Australia","2013","Not applicable","Not applicable","Number","33471500000"
"Australia","2004","Not applicable","Not applicable","Number","15968500000"
"Austria","1996","Not applicable","Not applicable","Number","2885550000"
"Austria","1997","Not applicable","Not applicable","Number","3123210000"
"Austria","1998","Not applicable","Not applicable","Number","3399835000"
"Austria","1999","Not applicable","Not applicable","Number","3761800000"
"Austria","2000","Not applicable","Not applicable","Number","4028670000"
"Austria","2001","Not applicable","Not applicable","Number","4393090000"
"Austria","2002","Not applicable","Not applicable","Number","4684313000"
"Austria","2003","Not applicable","Not applicable","Number","5041980000"
"Austria","2004","Not applicable","Not applicable","Number","5249546000"
"Austria","2005","Not applicable","Not applicable","Number","6029810000"
"Austria","2006","Not applicable","Not applicable","Number","6318587000"
"Austria","2007","Not applicable","Not applicable","Number","6867815000"
"Austria","2008","Not applicable","Not applicable","Number","7548060000"
"Austria","2009","Not applicable","Not applicable","Number","7479745000"
"Austria","2010","Not applicable","Not applicable","Number","8066440000"
"Austria","2011","Not applicable","Not applicable","Number","8276335000"
"Austria","2012","Not applicable","Not applicable","Number","9148990000"
"Austria","2013","Not applicable","Not applicable","Number","9571282000"
"Austria","2014","Not applicable","Not applicable","Number","9833080000"
"Austria","2015","Not applicable","Not applicable","Number","10104440000"
"Azerbaijan","2006","Not applicable","Not applicable","Number","32177300"
"Azerbaijan","1996","Not applicable","Not applicable","Number","6430600"
"Azerbaijan","2007","Not applicable","Not applicable","Number","48229800"
"Azerbaijan","1997","Not applicable","Not applicable","Number","11669800"
"Azerbaijan","2008","Not applicable","Not applicable","Number","66442800"
"Azerbaijan","1998","Not applicable","Not applicable","Number","14493400"
"Azerbaijan","2009","Not applicable","Not applicable","Number","88919900"
"Azerbaijan","1999","Not applicable","Not applicable","Number","14832000"
"Azerbaijan","2010","Not applicable","Not applicable","Number","92778200"
"Azerbaijan","2000","Not applicable","Not applicable","Number","15852600"
"Azerbaijan","2011","Not applicable","Not applicable","Number","109809800"
"Azerbaijan","2001","Not applicable","Not applicable","Number","18073600"
"Azerbaijan","2012","Not applicable","Not applicable","Number","117300000"
"Azerbaijan","2002","Not applicable","Not applicable","Number","18281400"
"Azerbaijan","2013","Not applicable","Not applicable","Number","122000000"
"Azerbaijan","2003","Not applicable","Not applicable","Number","23223200"
"Azerbaijan","2014","Not applicable","Not applicable","Number","123800000"
"Azerbaijan","2004","Not applicable","Not applicable","Number","25446400"
"Azerbaijan","2005","Not applicable","Not applicable","Number","27542200"
"Bahrain","2014","Not applicable","Not applicable","Number","12699355.17"
"Belarus","1996","Not applicable","Not applicable","Number","1915555000"
"Belarus","1997","Not applicable","Not applicable","Number","2677856400"
"Belarus","1998","Not applicable","Not applicable","Number","4955710100"
"Belarus","1999","Not applicable","Not applicable","Number","25577071700"
"Belarus","2000","Not applicable","Not applicable","Number","65955300000"
"Belarus","2001","Not applicable","Not applicable","Number","121717400000"
"Belarus","2002","Not applicable","Not applicable","Number","162291500000"
"Belarus","2003","Not applicable","Not applicable","Number","223582700000"
"Belarus","2004","Not applicable","Not applicable","Number","313745800000"
"Belarus","2005","Not applicable","Not applicable","Number","441491000000"
"Belarus","2006","Not applicable","Not applicable","Number","523679000000"
"Belarus","2007","Not applicable","Not applicable","Number","934761000000"
"Belarus","2008","Not applicable","Not applicable","Number","962361000000"
"Belarus","2009","Not applicable","Not applicable","Number","883332000000"
"Belarus","2010","Not applicable","Not applicable","Number","1140638000000"
"Belarus","2011","Not applicable","Not applicable","Number","2081884000000"
"Belarus","2012","Not applicable","Not applicable","Number","3537757000000"
"Belarus","2013","Not applicable","Not applicable","Number","4372305000000"
"Belgium","1996","Not applicable","Not applicable","Number","3734994000"
"Belgium","1997","Not applicable","Not applicable","Number","4055597000"
"Belgium","1998","Not applicable","Not applicable","Number","4276209000"
"Belgium","1999","Not applicable","Not applicable","Number","4617525000"
"Belgium","2000","Not applicable","Not applicable","Number","4963947000"
"Belgium","2001","Not applicable","Not applicable","Number","5373378000"
"Belgium","2002","Not applicable","Not applicable","Number","5200737000"
"Belgium","2003","Not applicable","Not applicable","Number","5177444000"
"Belgium","2004","Not applicable","Not applicable","Number","5403617000"
"Belgium","2005","Not applicable","Not applicable","Number","5551553000"
"Belgium","2006","Not applicable","Not applicable","Number","5926513000"
"Belgium","2007","Not applicable","Not applicable","Number","6356931000"
"Belgium","2008","Not applicable","Not applicable","Number","6812699000"
"Belgium","2009","Not applicable","Not applicable","Number","6924600000"
"Belgium","2010","Not applicable","Not applicable","Number","7487500000"
"Belgium","2011","Not applicable","Not applicable","Number","8171000000"
"Belgium","2012","Not applicable","Not applicable","Number","9153500000"
"Belgium","2013","Not applicable","Not applicable","Number","9541170000"
"Belgium","2014","Not applicable","Not applicable","Number","9874579000"
"Bermuda","1997","Not applicable","Not applicable","Number","1726000"
"Bermuda","2007","Not applicable","Not applicable","Number","12100000"
"Bermuda","2008","Not applicable","Not applicable","Number","12800000"
"Bermuda","2009","Not applicable","Not applicable","Number","12900000"
"Bermuda","2010","Not applicable","Not applicable","Number","12800000"
"Bermuda","2011","Not applicable","Not applicable","Number","14500000"
"Bermuda","2012","Not applicable","Not applicable","Number","12800000"
"Bermuda","2013","Not applicable","Not applicable","Number","12600000"
"Bermuda","2014","Not applicable","Not applicable","Number","12500000"
"Bolivia","1999","Not applicable","Not applicable","Number","143676804.960597"
"Bolivia","1996","Not applicable","Not applicable","Number","122160053.363683"
"Bolivia","2000","Not applicable","Not applicable","Number","149261151.679893"
"Bolivia","1997","Not applicable","Not applicable","Number","131500010.331702"
"Bolivia","2001","Not applicable","Not applicable","Number","157919942.392901"
"Bolivia","1998","Not applicable","Not applicable","Number","138104208.595784"
"Bolivia","2002","Not applicable","Not applicable","Number","156801170.22124"
"Bolivia","2009","Not applicable","Not applicable","Number","191114677.9"
"Bosnia and Herzegovina","2009","Not applicable","Not applicable","Number","5221500"
"Bosnia and Herzegovina","2003","Not applicable","Not applicable","Number","2689318"
"Bosnia and Herzegovina","2012","Not applicable","Not applicable","Number","69577126"
"Bosnia and Herzegovina","2004","Not applicable","Not applicable","Number","2543484"
"Bosnia and Herzegovina","2013","Not applicable","Not applicable","Number","86046335"
"Bosnia and Herzegovina","2005","Not applicable","Not applicable","Number","4759936"
"Bosnia and Herzegovina","2014","Not applicable","Not applicable","Number","70381152"
"Bosnia and Herzegovina","2006","Not applicable","Not applicable","Number","3948972"
"Bosnia and Herzegovina","2007","Not applicable","Not applicable","Number","5685000"
"Bosnia and Herzegovina","2008","Not applicable","Not applicable","Number","4699910"
"Botswana","2005","Not applicable","Not applicable","Number","270440000"
"Botswana","2012","Not applicable","Not applicable","Number","284340000"
"Brazil","2000","Not applicable","Not applicable","Number","12010100000"
"Brazil","2001","Not applicable","Not applicable","Number","13580000000"
"Brazil","2002","Not applicable","Not applicable","Number","14552400000"
"Brazil","2003","Not applicable","Not applicable","Number","17169000000"
"Brazil","2004","Not applicable","Not applicable","Number","18861600000"
"Brazil","2005","Not applicable","Not applicable","Number","21759300000"
"Brazil","2006","Not applicable","Not applicable","Number","23807000000"
"Brazil","2007","Not applicable","Not applicable","Number","29416400000"
"Brazil","2008","Not applicable","Not applicable","Number","35110800000"
"Brazil","2009","Not applicable","Not applicable","Number","37285300000"
"Brazil","2010","Not applicable","Not applicable","Number","45072900000"
"Brazil","2011","Not applicable","Not applicable","Number","49875900000"
"Brazil","2012","Not applicable","Not applicable","Number","54254600000"
"Brazil","2013","Not applicable","Not applicable","Number","63748600000"
"Brunei Darussalam","2002","Not applicable","Not applicable","Number","1666200"
"Brunei Darussalam","2003","Not applicable","Not applicable","Number","2104200"
"Brunei Darussalam","2004","Not applicable","Not applicable","Number","4925000"
"Bulgaria","1996","Not applicable","Not applicable","Number","9148000"
"Bulgaria","1997","Not applicable","Not applicable","Number","88591000"
"Bulgaria","1998","Not applicable","Not applicable","Number","127598000"
"Bulgaria","1999","Not applicable","Not applicable","Number","134450000"
"Bulgaria","2000","Not applicable","Not applicable","Number","139265000"
"Bulgaria","2001","Not applicable","Not applicable","Number","138539000"
"Bulgaria","2002","Not applicable","Not applicable","Number","158327000"
"Bulgaria","2003","Not applicable","Not applicable","Number","173010000"
"Bulgaria","2004","Not applicable","Not applicable","Number","194000000"
"Bulgaria","2005","Not applicable","Not applicable","Number","208142000"
"Bulgaria","2006","Not applicable","Not applicable","Number","237036000"
"Bulgaria","2007","Not applicable","Not applicable","Number","273047000"
"Bulgaria","2008","Not applicable","Not applicable","Number","325855000"
"Bulgaria","2009","Not applicable","Not applicable","Number","361060000"
"Bulgaria","2010","Not applicable","Not applicable","Number","421612000"
"Bulgaria","2011","Not applicable","Not applicable","Number","429566000"
"Bulgaria","2012","Not applicable","Not applicable","Number","496176000"
"Bulgaria","2013","Not applicable","Not applicable","Number","521682000"
"Bulgaria","2014","Not applicable","Not applicable","Number","664829000"
"Burkina Faso","1996","Not applicable","Not applicable","Number","2095055901"
"Burkina Faso","1997","Not applicable","Not applicable","Number","2586461939"
"Burkina Faso","2001","Not applicable","Not applicable","Number","3929350000"
"Burkina Faso","2002","Not applicable","Not applicable","Number","7566620000"
"Burkina Faso","2003","Not applicable","Not applicable","Number","6628789000"
"Burkina Faso","2004","Not applicable","Not applicable","Number","6185018000"
"Burkina Faso","2005","Not applicable","Not applicable","Number","4914954000"
"Burkina Faso","2007","Not applicable","Not applicable","Number","3589971615"
"Burkina Faso","2008","Not applicable","Not applicable","Number","6983903000"
"Burkina Faso","2009","Not applicable","Not applicable","Number","7905790000"
"Burundi","2007","Not applicable","Not applicable","Number","2944466200"
"Burundi","2008","Not applicable","Not applicable","Number","2946369200"
"Burundi","2009","Not applicable","Not applicable","Number","3089228928"
"Burundi","2010","Not applicable","Not applicable","Number","3431225764"
"Burundi","2011","Not applicable","Not applicable","Number","3602142117"
"Cambodia","2002","Not applicable","Not applicable","Number","8357010000"
"Canada","1996","Not applicable","Not applicable","Number","13816000000"
"Canada","2007","Not applicable","Not applicable","Number","30032000000"
"Canada","1997","Not applicable","Not applicable","Number","14636000000"
"Canada","2008","Not applicable","Not applicable","Number","30751000000"
"Canada","1998","Not applicable","Not applicable","Number","16088000000"
"Canada","2009","Not applicable","Not applicable","Number","30129000000"
"Canada","1999","Not applicable","Not applicable","Number","17637000000"
"Canada","2010","Not applicable","Not applicable","Number","30555000000"
"Canada","2000","Not applicable","Not applicable","Number","20556000000"
"Canada","2011","Not applicable","Not applicable","Number","31834000000"
"Canada","2001","Not applicable","Not applicable","Number","23133000000"
"Canada","2012","Not applicable","Not applicable","Number","32707000000"
"Canada","2002","Not applicable","Not applicable","Number","23536000000"
"Canada","2013","Not applicable","Not applicable","Number","31972000000"
"Canada","2003","Not applicable","Not applicable","Number","24691000000"
"Canada","2014","Not applicable","Not applicable","Number","31825000000"
"Canada","2004","Not applicable","Not applicable","Number","26679000000"
"Canada","2005","Not applicable","Not applicable","Number","28023000000"
"Canada","2006","Not applicable","Not applicable","Number","29079000000"
"Cape Verde","2011","Not applicable","Not applicable","Number","107457000"
"Chile","2007","Not applicable","Not applicable","Number","280784783000"
"Chile","2008","Not applicable","Not applicable","Number","351922769000"
"Chile","2009","Not applicable","Not applicable","Number","340356525000"
"Chile","2010","Not applicable","Not applicable","Number","367392879000"
"Chile","2011","Not applicable","Not applicable","Number","428780714000"
"Chile","2012","Not applicable","Not applicable","Number","470675384000"
"Chile","2013","Not applicable","Not applicable","Number","535924384000"
"Chile","2014","Not applicable","Not applicable","Number","558239596000"
